City_ID,City,Temperature,Humidity,Cloudiness,wind_speed,Date,Country,Longitude,Latitude
0,puerto natales,61.25,44,75,4.61,1740861864,CL,-72.4875,-51.7236
1,road town,82.44,65,20,11.5,1740862063,VG,-64.6167,18.4167
2,sarnia,19.99,48,75,17.27,1740862064,CA,-82.4041,42.9787
3,port-aux-francais,41.4,73,7,21.32,1740862064,TF,70.2167,-49.35
4,longyearbyen,30.04,69,0,29.93,1740862064,SJ,15.6401,78.2186
5,albany,28.47,65,60,1.99,1740862064,US,-73.9662,42.6001
6,otjimbingwe,73.74,35,1,6.78,1740862065,NA,16.1333,-22.35
7,lebu,62.17,68,46,5.82,1740862065,CL,-73.65,-37.6167
8,ilulissat,14.02,62,75,4.61,1740862065,GL,-51.1,69.2167
9,hamilton,34.86,46,100,17.27,1740862065,US,-84.5333,39.1834
10,whitehorse,32.54,86,75,6.91,1740861906,CA,-135.0538,60.7161
11,petropavlovsk-kamchatsky,1.99,55,75,6.71,1740862066,RU,158.6483,53.0452
12,corcoran,68.23,28,0,6.8,1740861902,US,-119.5604,36.098
13,menongue,67.82,82,100,2.42,1740862067,AO,17.691,-14.6585
14,ushuaia,56.86,62,75,3.44,1740861811,AR,-68.3,-54.8
15,urangan,76.89,77,83,29.75,1740862067,AU,152.9,-25.3
16,ust-nera,-31.5,100,74,3.22,1740862067,RU,143.2,64.5667
17,enewetak,79.63,68,31,17.29,1740862067,MH,162.3373,11.3474
18,haiku-pauwela,77.7,72,20,18.01,1740862068,US,-156.3051,20.9219
19,hadibu,75.54,75,14,6.78,1740862068,YE,54.0333,12.65
20,usinsk,21.36,97,100,4.07,1740862068,RU,57.5281,65.9939
21,nemuro,32.18,82,83,4.94,1740862068,JP,145.575,43.3236
22,yantarnyy,36.0,86,93,10.02,1740862069,RU,19.9381,54.8717
23,obo,82.76,27,58,2.51,1740862069,CF,26.4869,5.3998
24,mahibadhoo,76.93,92,100,18.48,1740862069,MV,72.9667,3.7833
25,arkalyk,9.05,82,5,10.36,1740862070,KZ,66.9114,50.2486
26,smithers,39.52,93,100,2.3,1740862070,CA,-127.1743,54.7804
27,edinburgh of the seven seas,63.61,89,87,6.71,1740862070,SH,-12.3116,-37.0676
28,susuman,-32.06,99,86,2.06,1740862070,RU,148.1667,62.7833
29,bela vista,93.58,34,24,3.58,1740862071,BR,-56.5211,-22.1089
30,aasiaat,6.69,86,100,12.37,1740862071,GL,-52.8699,68.7098
31,taoudenni,75.29,16,77,6.62,1740862071,ML,-3.9836,22.6783
32,port elizabeth,68.31,99,24,5.01,1740861928,ZA,25.5701,-33.918
33,sandnessjoen,40.32,79,100,33.84,1740862072,NO,12.6316,66.0217
34,darab,54.66,38,98,6.89,1740862072,IR,54.5444,28.7519
35,kruisfontein,67.64,95,71,8.28,1740862072,ZA,24.7314,-34.0033
36,praia da vitoria,57.45,67,75,15.12,1740862073,PT,-27.0667,38.7333
37,george town,78.35,78,20,5.99,1740861916,MY,100.3354,5.4112
38,grytviken,34.72,72,17,10.94,1740862073,GS,-36.5092,-54.2811
39,yellowknife,15.3,86,75,5.75,1740862073,CA,-114.3525,62.456
40,adamstown,78.42,77,19,16.17,1740862073,PN,-130.1015,-25.066
41,egilsstadir,37.31,70,100,2.3,1740862074,IS,-14.3948,65.2653
42,talakan,-25.26,100,42,3.36,1740862074,RU,130.3667,50.3167
43,san julian,83.46,11,45,9.71,1740862074,MX,-102.1667,21.0167
44,polyarnyy,22.64,92,93,11.34,1740862074,RU,33.4478,69.1989
45,kutum,67.28,20,5,9.8,1740862074,SD,24.6667,14.2
46,port isabel,77.04,57,0,9.22,1740862075,US,-97.2086,26.0734
47,luderitz,62.98,93,2,14.07,1740862075,NA,15.1594,-26.6481
