City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,12.07,72,0,5.58,AU,1741119689
1,adamstown,-25.066,-130.1015,25.56,77,14,6.41,PN,1741119690
2,west island,-12.1568,96.8225,27.99,89,40,4.63,CC,1741119692
3,port-aux-francais,-49.35,70.2167,6.0,76,81,8.22,TF,1741119693
4,bethel,41.3712,-73.414,9.13,64,100,4.12,US,1741119695
5,port mathurin,-19.6833,63.4167,27.7,79,62,8.36,MU,1741119696
6,naze,28.3667,129.4833,15.51,89,100,2.32,JP,1741119697
7,hamilton,39.1834,-84.5333,19.97,28,75,9.77,US,1741119506
8,bocas del toro,9.3333,-82.25,27.28,72,44,3.8,PA,1741119700
9,peniche,39.3558,-9.3811,14.0,92,100,5.44,PT,1741119701
10,lerwick,60.1545,-1.1494,8.52,89,100,10.88,GB,1741119702
11,ushuaia,-54.8,-68.3,7.81,81,75,1.54,AR,1741119495
12,hermanus,-34.4187,19.2345,21.0,89,91,3.46,ZA,1741119704
13,minas de marcona,-15.2119,-75.1103,22.89,58,0,8.69,PE,1741119705
14,thompson,55.7435,-97.8558,-8.91,62,75,2.06,CA,1741119629
15,jiupu,41.0667,122.95,-3.09,83,38,1.78,CN,1741119708
16,saint-philippe,-21.3585,55.7679,26.73,84,34,6.92,RE,1741119709
17,san carlos,9.6612,-68.5827,35.07,32,100,0.9,VE,1741119710
18,kingaroy,-26.5333,151.8333,17.93,77,100,2.22,AU,1741119711
19,ribeira grande,38.5167,-28.7,16.54,88,75,3.6,PT,1741119712
20,grytviken,-54.2811,-36.5092,7.07,74,11,7.03,GS,1741119713
21,gadzhiyevo,69.2551,33.3362,-4.38,97,92,2.59,RU,1741119715
22,papao,-17.75,-149.55,30.82,74,52,5.22,PF,1741119716
23,jamestown,42.097,-79.2353,13.8,22,0,4.12,US,1741119479
24,kilindoni,-7.9139,39.6668,27.75,74,5,5.59,TZ,1741119718
25,yellowknife,62.456,-114.3525,-9.77,95,100,1.03,CA,1741119719
26,tommot,58.9564,126.2925,-32.65,100,100,0.55,RU,1741119720
27,olonkinbyen,70.9221,-8.7187,-1.19,88,100,11.68,SJ,1741119721
28,rio grande,-32.035,-52.0986,28.62,67,0,6.13,BR,1741119624
29,udachny,66.4167,112.4,-40.72,99,41,1.33,RU,1741119724
30,bodo,67.28,14.405,3.02,56,0,8.75,NO,1741119725
31,maraba,-5.3686,-49.1178,30.1,74,40,1.54,BR,1741119726
32,taulaga,-11.0553,-171.0883,27.97,67,99,2.99,AS,1741119727
33,avarua,-21.2078,-159.775,25.03,94,100,2.57,CK,1741119728
34,geraldton,-28.7667,114.6,17.23,77,3,3.6,AU,1741119729
35,vila franca do campo,37.7167,-25.4333,14.23,82,77,1.02,PT,1741119731
36,solleftea,63.1667,17.2667,0.92,88,100,2.09,SE,1741119732
37,vila velha,-20.3297,-40.2925,26.97,78,75,4.12,BR,1741119552
38,ofunato,39.0717,141.7167,0.23,98,100,4.08,JP,1741119734
39,kodinsk,58.6881,99.1844,-14.11,99,98,0.59,RU,1741119735
40,college,64.8569,-147.8028,-3.84,89,20,2.06,US,1741119736
41,puerto natales,-51.7236,-72.4875,11.25,71,100,2.57,CL,1741119737
42,mil'kovo,55.6078,37.7956,3.52,56,100,5.09,RU,1741119740
43,alofi,-19.0595,-169.9187,25.94,89,75,2.06,NU,1741119741
44,taoudenni,22.6783,-3.9836,24.36,32,100,2.89,ML,1741119742
45,cole harbour,44.6724,-63.4751,0.98,58,40,8.23,CA,1741119743
46,miyaly,48.8844,53.7836,-2.33,96,100,8.23,KZ,1741119744
47,puerto santa,-8.9906,-78.6456,25.6,76,42,5.7,PE,1741119745
48,longyearbyen,78.2186,15.6401,-9.09,62,20,9.26,SJ,1741119746
49,port macquarie,-31.4333,152.9167,23.37,88,100,1.79,AU,1741119748
50,coquimbo,-29.9533,-71.3436,19.99,68,0,6.17,CL,1741119480
51,albany,42.6001,-73.9662,8.15,44,100,0.89,US,1741119750
52,carnarvon,-24.8667,113.6333,28.36,57,19,9.2,AU,1741119751
